,h_geocode,w_geocode,total_jobs,origin_loc_lat,origin_loc_lon,dest_loc_lat,dest_loc_lon,pickup_time_0,pickup_time_0_secs,pickup_time_0_str,origin_geom,dest_geom,walk_time,drive_time,origin_lat,origin_lon,destination_lat,destination_lon,transit_time,transfers,trip1,trip2,trip3,trip4,trip5,trip6,route1,route2,route3,route4,route5,route6,mode,bus_capacity_upto_2hours,GEOID,median_income,margin,start_pickup_window,end_pickup_window,start_dropoff_window,end_dropoff_window
873,470650104312,470650031002,70.0,35.168838729539054,-85.23434229845955,35.04955357518711,-85.30578501610127,07:54:00,28440.0,07:54:00,POINT (-85.23434229845955 35.168838729539054),POINT (-85.30578501610127 35.04955357518711),13604.0,1842.0,35.168838729539054,-85.23434229845955,35.04955357518711,-85.30578501610127,6368.0,0.0,244020.0,,,,,,16,,,,,,"['WALK', 'BUS', 'WALK']",105.0,470650104312,78125,24308,07:24:00,07:54:00,08:24:42,08:54:42
874,470650104312,470650031002,70.0,35.181257249980504,-85.24589774991894,35.055210448297515,-85.30925905186584,09:49:45,35385.0,09:49:45,POINT (-85.24589774991894 35.181257249980504),POINT (-85.30925905186584 35.055210448297515),13323.0,1113.0,35.181257249980504,-85.24589774991894,35.055210448297515,-85.30925905186584,7874.0,0.0,1559020.0,,,,,,16,,,,,,"['WALK', 'BUS', 'WALK']",105.0,470650104312,78125,24308,09:19:45,09:49:45,10:08:18,10:38:18
875,470650104312,470650031002,70.0,35.18169319089893,-85.24485516250444,35.046262749991826,-85.30906814999919,06:47:45,24465.0,06:47:45,POINT (-85.24485516250444 35.18169319089893),POINT (-85.30906814999919 35.046262749991826),14116.0,1008.0,35.18169319089893,-85.24485516250444,35.046262749991826,-85.30906814999919,7985.0,0.0,1384020.0,52020.0,,,,,16,9,,,,,"['WALK', 'BUS', 'BUS', 'WALK']",105.0,470650104312,78125,24308,06:17:45,06:47:45,07:04:33,07:34:33
876,470650104312,470650031002,70.0,35.15804549996104,-85.23825949999016,35.05588502141059,-85.30621318332616,09:04:30,32670.0,09:04:30,POINT (-85.23825949999016 35.15804549996104),POINT (-85.30621318332616 35.05588502141059),11811.0,1701.0,35.15804549996104,-85.23825949999016,35.05588502141059,-85.30621318332616,4666.0,0.0,1020020.0,,,,,,16,,,,,,"['WALK', 'BUS', 'WALK']",105.0,470650104312,78125,24308,08:34:30,09:04:30,09:32:51,10:02:51
877,470650104312,470650031002,70.0,35.1653705000121,-85.24054905000273,35.04929027890839,-85.30898741666464,08:52:00,31920.0,08:52:00,POINT (-85.24054905000273 35.1653705000121),POINT (-85.30898741666464 35.04929027890839),13329.0,1699.0,35.1653705000121,-85.24054905000273,35.04929027890839,-85.30898741666464,5726.0,0.0,1020020.0,,,,,,16,,,,,,"['WALK', 'BUS', 'WALK']",105.0,470650104312,78125,24308,08:22:00,08:52:00,09:20:19,09:50:19
879,470650104312,470650031002,70.0,35.15889500004231,-85.24164249998371,35.05588502141059,-85.30621318332616,08:16:45,29805.0,08:16:45,POINT (-85.24164249998371 35.15889500004231),POINT (-85.30621318332616 35.05588502141059),12218.0,1624.0,35.15889500004231,-85.24164249998371,35.05588502141059,-85.30621318332616,5073.0,0.0,244020.0,,,,,,16,,,,,,"['WALK', 'BUS', 'WALK']",105.0,470650104312,78125,24308,07:46:45,08:16:45,08:43:49,09:13:49
881,470650104312,470650031002,70.0,35.17928855000178,-85.24579420000492,35.05208700013653,-85.3100287251335,08:45:45,31545.0,08:45:45,POINT (-85.24579420000492 35.17928855000178),POINT (-85.3100287251335 35.05208700013653),13816.0,1016.0,35.17928855000178,-85.24579420000492,35.05208700013653,-85.3100287251335,7822.0,0.0,1826020.0,,,,,,16,,,,,,"['WALK', 'BUS', 'WALK']",105.0,470650104312,78125,24308,08:15:45,08:45:45,09:02:41,09:32:41
882,470650104312,470650031002,70.0,35.172954250019465,-85.2395981999968,35.04955357518711,-85.30578501610127,08:45:30,31530.0,08:45:30,POINT (-85.2395981999968 35.172954250019465),POINT (-85.30578501610127 35.04955357518711),14218.0,1567.0,35.172954250019465,-85.2395981999968,35.04955357518711,-85.30578501610127,6990.0,0.0,1826020.0,,,,,,16,,,,,,"['WALK', 'BUS', 'WALK']",105.0,470650104312,78125,24308,08:15:30,08:45:30,09:11:37,09:41:37
884,470650104312,470650031002,70.0,35.165948950004704,-85.23639204999974,35.046262749991826,-85.30906814999919,09:03:45,32625.0,09:03:45,POINT (-85.23639204999974 35.165948950004704),POINT (-85.30906814999919 35.046262749991826),13783.0,1446.0,35.165948950004704,-85.23639204999974,35.046262749991826,-85.30906814999919,5950.0,0.0,1826020.0,,,,,,16,,,,,,"['WALK', 'BUS', 'WALK']",105.0,470650104312,78125,24308,08:33:45,09:03:45,09:27:51,09:57:51
885,470650104312,470650031002,70.0,35.162139499988186,-85.24053549998585,35.04929027890839,-85.30898741666464,06:09:00,22140.0,06:09:00,POINT (-85.24053549998585 35.162139499988186),POINT (-85.30898741666464 35.04929027890839),12810.0,1505.0,35.162139499988186,-85.24053549998585,35.04929027890839,-85.30898741666464,5191.0,0.0,2195020.0,1143020.0,,,,,16,9,,,,,"['WALK', 'BUS', 'BUS', 'WALK']",105.0,470650104312,78125,24308,05:39:00,06:09:00,06:34:05,07:04:05
